id,s,t,h,r1,r2
0,933,743,12755,0.80496,0.80496
1,529,700,7836,0.34602,0.34602
2,752,256,737,0.5124,0.5124
3,119,711,4340,0.98448,0.98448
4,843,705,8826,0.46143,0.46143
5,393,330,6360,0.33105,0.33105
6,169,932,13261,0.72662,0.72662
7,847,972,13070,0.47044,0.47044
8,980,223,6372,0.55826,0.55826
9,592,164,7933,0.82882,0.82882
10,551,427,16570,0.1992,0.1992
11,624,635,17843,0.62008,0.62008
12,944,310,7954,0.57849,0.57849
13,484,363,19224,0.28621,0.28621
14,710,236,10714,0.23747,0.23747
15,431,929,15475,0.90041,0.90041
16,675,491,11384,0.2086,0.2086
17,344,134,14617,0.78599,0.78599
18,629,30,3465,0.60901,0.60901
19,126,743,17653,0.24563,0.24563
20,104,760,4520,0.77135,0.77135
21,620,256,6704,0.88152,0.88152
22,572,613,73,0.60449,0.60449
23,509,119,3240,0.36052,0.36052
24,695,49,18510,0.6292,0.6292
25,719,497,3350,0.51117,0.51117
26,596,649,15194,0.56632,0.56632
27,184,93,489,0.29397,0.29397
28,7,306,6140,0.21304,0.21304
29,754,352,11045,0.26296,0.26296
30,783,738,10744,1.03751,1.03751
31,690,330,15097,0.31895,0.31895
32,195,656,16862,0.37038,0.37038
33,11,427,8851,0.13108,0.13108
34,106,968,9454,0.56974,0.56974
35,1,510,9038,0.07645,0.07645
36,658,571,12585,0.48427,0.48427
37,814,847,12508,0.55748,0.55748
38,197,625,8151,0.44177,0.44177
39,931,18,14091,0.40289,0.40289
40,151,187,8493,0.58065,0.58065
41,179,995,2571,0.57664,0.57664
42,750,913,7150,0.83144,0.83144
43,134,273,2990,0.42294,0.42294
44,521,830,6083,0.21014,0.21014
45,557,678,18289,0.68906,0.68906
46,503,597,17448,0.79135,0.79135
47,893,988,15677,0.35446,0.35446
48,85,93,6555,0.33971,0.33971
49,720,211,12050,0.33381,0.33381
50,387,710,8356,0.00858,0.00858
51,887,668,2979,0.23134,0.23134
52,473,900,6416,0.52471,0.52471
53,105,183,5647,0.68516,0.68516
54,370,787,13348,0.12385,0.12385
55,410,905,3186,0.73128,0.73128
56,400,996,6648,0.7784,0.7784
57,585,860,11313,0.3457,0.3457
58,924,731,13047,0.77671,0.77671
59,386,219,687,0.2348,0.2348
60,415,55,8710,1.02189,1.02189
61,874,61,17156,0.73031,0.73031
62,602,268,18184,0.02659,0.02659
63,470,518,2976,0.3112,0.3112
64,89,106,15038,0.43938,0.43938
65,130,655,19347,0.88169,0.88169
66,993,974,15542,0.92378,0.92378
67,810,673,5068,0.70841,0.70841
68,730,95,18222,0.26554,0.26554
69,705,694,15693,0.05397,0.05397
70,873,353,8983,0.63186,0.63186
71,760,741,6283,0.75492,0.75492
72,644,143,7267,0.63159,0.63159
73,737,679,18778,0.84186,0.84186
74,149,529,7292,0.07274,0.07274
75,607,417,5043,0.8552,0.8552
76,787,373,17142,0.14825,0.14825
77,445,112,19169,0.71952,0.71952
78,595,153,502,0.40919,0.40919
79,183,717,11711,1.13493,1.13493
80,17,176,18116,0.673,0.673
81,776,399,16589,0.46422,0.46422
82,728,2,14290,0.05891,0.05891
83,455,870,1623,0.08011,0.08011
84,694,381,2595,0.39947,0.39947
85,480,604,7500,1.29578,1.29578
86,359,207,1054,0.24833,0.24833
87,79,702,18447,0.43579,0.43579
88,453,732,6217,0.34588,0.34588
89,432,563,16633,0.68414,0.68414
90,107,583,13773,0.48368,0.48368
91,467,116,5068,0.76518,0.76518
92,719,528,5354,0.48099,0.48099
93,107,256,18949,0.5733,0.5733
94,353,528,13263,0.49355,0.49355
95,430,477,816,0.70614,0.70614
96,520,204,17896,0.17598,0.17598
97,810,719,17580,0.45842,0.45842
98,298,131,12755,0.71022,0.71022
99,709,751,4858,0.35871,0.35871
